BULAN,TAHUN,DISTRIBUTOR,KOTA,PRINSIPAL,PRODUK,BRAND,JENIS,UKURAN,QTY
September,2024,,,,KAYA TOAST V1 3MG,ORAMA,FREEBASE,60ML,750
Oktober,2024,,,,KAYA TOAST V1 3MG,ORAMA,FREEBASE,60ML,10170
November,2024,,,,KAYA TOAST V1 3MG,ORAMA,FREEBASE,60ML,2349
Desember,2024,,,,KAYA TOAST V1 3MG,ORAMA,FREEBASE,60ML,425
Februari,2024,,,,KAYA TOAST V1 3MG,ORAMA,FREEBASE,60ML,39884
Juni,2024,,,,KAYA TOAST V1 6MG,ORAMA,FREEBASE,60ML,8650
Juli,2024,,,,KAYA TOAST V1 6MG,ORAMA,FREEBASE,60ML,910
Agustus,2024,,,,KAYA TOAST V1 6MG,ORAMA,FREEBASE,60ML,11702
September,2024,,,,KAYA TOAST V1 6MG,ORAMA,FREEBASE,60ML,400
Oktober,2024,,,,KAYA TOAST V1 6MG,ORAMA,FREEBASE,60ML,9396
November,2024,,,,KAYA TOAST V1 6MG,ORAMA,FREEBASE,60ML,2100
Desember,2024,,,,KAYA TOAST V1 6MG,ORAMA,FREEBASE,60ML,545
Februari,2024,,,,KAYA TOAST V1 6MG,ORAMA,FREEBASE,60ML,35130
November,2024,,,,KAYA TOAST V1 9MG,ORAMA,FREEBASE,60ML,6350
Desember,2024,,,,KAYA TOAST V1 9MG,ORAMA,FREEBASE,60ML,500
Mei,2024,,,,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,15425
Juli,2024,,,,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,7762
Agustus,2024,,,,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,3500
September,2024,,,,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,3050
Oktober,2024,,,,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,14305
November,2024,,,,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,9391
Desember,2024,,,,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Januari,2024,,,,KAYA TOAST V1 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,31030
Februari,2024,,,,LEMONADE FREEBASE,BEQU,FREEBASE,60ML,6505
Mei,2024,,,,LEMONADE FREEBASE,BEQU,FREEBASE,60ML,4320
Juli,2024,,,,LEMONADE FREEBASE,BEQU,FREEBASE,60ML,665
Agustus,2024,,,,LEMONADE FREEBASE,BEQU,FREEBASE,60ML,125
September,2024,,,,LEMONADE FREEBASE,BEQU,FREEBASE,60ML,125
Oktober,2024,,,,LEMONADE FREEBASE,BEQU,FREEBASE,60ML,40
November,2024,,,,LEMONADE FREEBASE,BEQU,FREEBASE,60ML,17
Februari,2024,,,,LEMONADE SALTNIC,BEQU,SALTNIC,30ML,6235
Mei,2024,,,,LEMONADE SALTNIC,BEQU,SALTNIC,30ML,3970
Juli,2024,,,,LEMONADE SALTNIC,BEQU,SALTNIC,30ML,305
Agustus,2024,,,,LEMONADE SALTNIC,BEQU,SALTNIC,30ML,325
September,2024,,,,LEMONADE SALTNIC,BEQU,SALTNIC,30ML,125
Oktober,2024,,,,LEMONADE SALTNIC,BEQU,SALTNIC,30ML,119
November,2024,,,,LEMONADE SALTNIC,BEQU,SALTNIC,30ML,56
Desember,2024,,,,LEMONADE SALTNIC,BEQU,SALTNIC,30ML,100
Maret,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW FREEBASE,BEQU LIGHTS,FREEBASE,60ML,12245
Juni,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW FREEBASE,BEQU LIGHTS,FREEBASE,60ML,4705
Juli,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW FREEBASE,BEQU LIGHTS,FREEBASE,60ML,350
September,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW FREEBASE,BEQU LIGHTS,FREEBASE,60ML,7680
Oktober,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW FREEBASE,BEQU LIGHTS,FREEBASE,60ML,1879
November,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW FREEBASE,BEQU LIGHTS,FREEBASE,60ML,4557
Desember,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW FREEBASE,BEQU LIGHTS,FREEBASE,60ML,380
Maret,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW SALTNIC,BEQU LIGHTS,SALTNIC,30ML,8635
Juni,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW SALTNIC,BEQU LIGHTS,SALTNIC,30ML,3560
Juli,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW SALTNIC,BEQU LIGHTS,SALTNIC,30ML,150
September,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW SALTNIC,BEQU LIGHTS,SALTNIC,30ML,4565
Oktober,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW SALTNIC,BEQU LIGHTS,SALTNIC,30ML,1723
November,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW SALTNIC,BEQU LIGHTS,SALTNIC,30ML,4295
Desember,2024,,,,LIGHTS V1 STRAWBERRY HONEYDEW SALTNIC,BEQU LIGHTS,SALTNIC,30ML,430
Maret,2024,,,,LIGHTS V2 MANGO PEACH FREEBASE,BEQU LIGHTS,FREEBASE,60ML,11335
Juni,2024,,,,LIGHTS V2 MANGO PEACH FREEBASE,BEQU LIGHTS,FREEBASE,60ML,4270
Juli,2024,,,,LIGHTS V2 MANGO PEACH FREEBASE,BEQU LIGHTS,FREEBASE,60ML,350
September,2024,,,,LIGHTS V2 MANGO PEACH FREEBASE,BEQU LIGHTS,FREEBASE,60ML,6140
Oktober,2024,,,,LIGHTS V2 MANGO PEACH FREEBASE,BEQU LIGHTS,FREEBASE,60ML,1380
November,2024,,,,LIGHTS V2 MANGO PEACH FREEBASE,BEQU LIGHTS,FREEBASE,60ML,3982
Desember,2024,,,,LIGHTS V2 MANGO PEACH FREEBASE,BEQU LIGHTS,FREEBASE,60ML,370
Maret,2024,,,,LIGHTS V2 MANGO PEACH SALTNIC,BEQU LIGHTS,SALTNIC,30ML,8495
Juni,2024,,,,LIGHTS V2 MANGO PEACH SALTNIC,BEQU LIGHTS,SALTNIC,30ML,3055
Juli,2024,,,,LIGHTS V2 MANGO PEACH SALTNIC,BEQU LIGHTS,SALTNIC,30ML,100
September,2024,,,,LIGHTS V2 MANGO PEACH SALTNIC,BEQU LIGHTS,SALTNIC,30ML,4070
Oktober,2024,,,,LIGHTS V2 MANGO PEACH SALTNIC,BEQU LIGHTS,SALTNIC,30ML,1400
November,2024,,,,LIGHTS V2 MANGO PEACH SALTNIC,BEQU LIGHTS,SALTNIC,30ML,3837
Desember,2024,,,,LIGHTS V2 MANGO PEACH SALTNIC,BEQU LIGHTS,SALTNIC,30ML,220
Agustus,2024,,,,LIGHTS V3 GRAPEBERRY FREEBASE,BEQU LIGHTS,FREEBASE,60ML,13190
September,2024,,,,LIGHTS V3 GRAPEBERRY FREEBASE,BEQU LIGHTS,FREEBASE,60ML,1275
Oktober,2024,,,,LIGHTS V3 GRAPEBERRY FREEBASE,BEQU LIGHTS,FREEBASE,60ML,7304
November,2024,,,,LIGHTS V3 GRAPEBERRY FREEBASE,BEQU LIGHTS,FREEBASE,60ML,2551
Desember,2024,,,,LIGHTS V3 GRAPEBERRY FREEBASE,BEQU LIGHTS,FREEBASE,60ML,970
Agustus,2024,,,,LIGHTS V3 GRAPEBERRY SALTNIC,BEQU LIGHTS,SALTNIC,30ML,10175
September,2024,,,,LIGHTS V3 GRAPEBERRY SALTNIC,BEQU LIGHTS,SALTNIC,30ML,875
Oktober,2024,,,,LIGHTS V3 GRAPEBERRY SALTNIC,BEQU LIGHTS,SALTNIC,30ML,5123
November,2024,,,,LIGHTS V3 GRAPEBERRY SALTNIC,BEQU LIGHTS,SALTNIC,30ML,1703
Desember,2024,,,,LIGHTS V3 GRAPEBERRY SALTNIC,BEQU LIGHTS,SALTNIC,30ML,1220
Februari,2024,,,,MANGO FREEBASE,BEQU,FREEBASE,60ML,9310
Maret,2024,,,,MANGO FREEBASE,BEQU,FREEBASE,60ML,6690
April,2024,,,,MANGO FREEBASE,BEQU,FREEBASE,60ML,100
Mei,2024,,,,MANGO FREEBASE,BEQU,FREEBASE,60ML,40
Juni,2024,,,,MANGO FREEBASE,BEQU,FREEBASE,60ML,9404
Juli,2024,,,,MANGO FREEBASE,BEQU,FREEBASE,60ML,5160
Agustus,2024,,,,MANGO FREEBASE,BEQU,FREEBASE,60ML,3650
September,2024,,,,MANGO FREEBASE,BEQU,FREEBASE,60ML,6255
Oktober,2024,,,,MANGO FREEBASE,BEQU,FREEBASE,60ML,3203
November,2024,,,,MANGO FREEBASE,BEQU,FREEBASE,60ML,6587
Desember,2024,,,,MANGO FREEBASE,BEQU,FREEBASE,60ML,1350
April,2024,,,,MANGO SALTNIC,BEQU,SALTNIC,30ML,13263
Juni,2024,,,,MANGO SALTNIC,BEQU,SALTNIC,30ML,3370
Juli,2024,,,,MANGO SALTNIC,BEQU,SALTNIC,30ML,5590
Agustus,2024,,,,MANGO SALTNIC,BEQU,SALTNIC,30ML,1232
September,2024,,,,MANGO SALTNIC,BEQU,SALTNIC,30ML,4825
Oktober,2024,,,,MANGO SALTNIC,BEQU,SALTNIC,30ML,2248
November,2024,,,,MANGO SALTNIC,BEQU,SALTNIC,30ML,6583
Desember,2024,,,,MANGO SALTNIC,BEQU,SALTNIC,30ML,1230
November,2024,,,,PEACH SALTNIC,BEQU,SALTNIC,30ML,5274
Desember,2024,,,,PEACH SALTNIC,BEQU,SALTNIC,30ML,100
Februari,2024,,,,PEANUT BUTTER V2 1MG,ORAMA,FREEBASE,60ML,1090
Juni,2024,,,,PEANUT BUTTER V2 1MG,ORAMA,FREEBASE,60ML,10
Oktober,2024,,,,PEANUT BUTTER V2 1MG,ORAMA,FREEBASE,60ML,7
Februari,2024,,,,PEANUT BUTTER V2 3MG,ORAMA,FREEBASE,60ML,16059
Juni,2024,,,,PEANUT BUTTER V2 3MG,ORAMA,FREEBASE,60ML,1770
Agustus,2024,,,,PEANUT BUTTER V2 3MG,ORAMA,FREEBASE,60ML,25
September,2024,,,,PEANUT BUTTER V2 3MG,ORAMA,FREEBASE,60ML,1060
Oktober,2024,,,,PEANUT BUTTER V2 3MG,ORAMA,FREEBASE,60ML,595
November,2024,,,,PEANUT BUTTER V2 3MG,ORAMA,FREEBASE,60ML,895
Desember,2024,,,,PEANUT BUTTER V2 3MG,ORAMA,FREEBASE,60ML,25
Februari,2024,,,,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,13914
Juni,2024,,,,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,1775
Agustus,2024,,,,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,75
September,2024,,,,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,1300
Oktober,2024,,,,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,442
November,2024,,,,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,827
Desember,2024,,,,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,25
Mei,2024,,,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,6155
Juli,2024,,,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,3397
Agustus,2024,,,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,1150
September,2024,,,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,1600
Oktober,2024,,,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,5891
November,2024,,,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,4977
Desember,2024,,,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Januari,2024,,,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,17365
November,2024,,,,PINEAPPLE SALTNIC,BEQU,SALTNIC,30ML,5360
Desember,2024,,,,PINEAPPLE SALTNIC,BEQU,SALTNIC,30ML,100
Februari,2024,,,,POMEGRANATE FREEBASE,BEQU,FREEBASE,60ML,3303
Maret,2024,,,,POMEGRANATE FREEBASE,BEQU,FREEBASE,60ML,2885
Mei,2024,,,,POMEGRANATE FREEBASE,BEQU,FREEBASE,60ML,25
Juni,2024,,,,POMEGRANATE FREEBASE,BEQU,FREEBASE,60ML,2027
Juli,2024,,,,POMEGRANATE FREEBASE,BEQU,FREEBASE,60ML,660
Agustus,2024,,,,POMEGRANATE FREEBASE,BEQU,FREEBASE,60ML,600
September,2024,,,,POMEGRANATE FREEBASE,BEQU,FREEBASE,60ML,1260
Oktober,2024,,,,POMEGRANATE FREEBASE,BEQU,FREEBASE,60ML,210
November,2024,,,,POMEGRANATE FREEBASE,BEQU,FREEBASE,60ML,880
Desember,2024,,,,POMEGRANATE FREEBASE,BEQU,FREEBASE,60ML,180
April,2024,,,,POMEGRANATE SALTNIC,BEQU,SALTNIC,30ML,5360
Juni,2024,,,,POMEGRANATE SALTNIC,BEQU,SALTNIC,30ML,865
Juli,2024,,,,POMEGRANATE SALTNIC,BEQU,SALTNIC,30ML,2160
Agustus,2024,,,,POMEGRANATE SALTNIC,BEQU,SALTNIC,30ML,248
September,2024,,,,POMEGRANATE SALTNIC,BEQU,SALTNIC,30ML,1105
Oktober,2024,,,,POMEGRANATE SALTNIC,BEQU,SALTNIC,30ML,649
November,2024,,,,POMEGRANATE SALTNIC,BEQU,SALTNIC,30ML,1095
Desember,2024,,,,POMEGRANATE SALTNIC,BEQU,SALTNIC,30ML,230
Februari,2024,,,,RAISIN TOAST V3 1MG,ORAMA,FREEBASE,60ML,910
Juni,2024,,,,RAISIN TOAST V3 3MG,ORAMA,FREEBASE,60ML,840
Agustus,2024,,,,RAISIN TOAST V3 3MG,ORAMA,FREEBASE,60ML,130
September,2024,,,,RAISIN TOAST V3 3MG,ORAMA,FREEBASE,60ML,120
Oktober,2024,,,,RAISIN TOAST V3 3MG,ORAMA,FREEBASE,60ML,184
November,2024,,,,RAISIN TOAST V3 3MG,ORAMA,FREEBASE,60ML,975
Desember,2024,,,,RAISIN TOAST V3 3MG,ORAMA,FREEBASE,60ML,25
Februari,2024,,,,RAISIN TOAST V3 3MG,ORAMA,FREEBASE,60ML,16590
Februari,2024,,,,RAISIN TOAST V3 6MG,ORAMA,FREEBASE,60ML,13816
Juni,2024,,,,RAISIN TOAST V3 6MG,ORAMA,FREEBASE,60ML,715
Agustus,2024,,,,RAISIN TOAST V3 6MG,ORAMA,FREEBASE,60ML,130
September,2024,,,,RAISIN TOAST V3 6MG,ORAMA,FREEBASE,60ML,180
Oktober,2024,,,,RAISIN TOAST V3 6MG,ORAMA,FREEBASE,60ML,190
November,2024,,,,RAISIN TOAST V3 6MG,ORAMA,FREEBASE,60ML,953
Desember,2024,,,,RAISIN TOAST V3 6MG,ORAMA,FREEBASE,60ML,125
Januari,2024,,,,RAISIN TOAST V3 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,20780
Mei,2024,,,,RAISIN TOAST V3 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,7805
Juli,2024,,,,RAISIN TOAST V3 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,3510
Agustus,2024,,,,RAISIN TOAST V3 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,1688
September,2024,,,,RAISIN TOAST V3 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,1350
Oktober,2024,,,,RAISIN TOAST V3 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,5376
November,2024,,,,RAISIN TOAST V3 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,4210
Desember,2024,,,,RAISIN TOAST V3 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Februari,2024,,,,STRAWBERRY FREEBASE,BEQU,FREEBASE,60ML,8480
Maret,2024,,,,STRAWBERRY FREEBASE,BEQU,FREEBASE,60ML,6645
Mei,2024,,,,STRAWBERRY FREEBASE,BEQU,FREEBASE,60ML,45
Juni,2024,,,,STRAWBERRY FREEBASE,BEQU,FREEBASE,60ML,8029
Juli,2024,,,,STRAWBERRY FREEBASE,BEQU,FREEBASE,60ML,4240
Agustus,2024,,,,STRAWBERRY FREEBASE,BEQU,FREEBASE,60ML,2050
September,2024,,,,STRAWBERRY FREEBASE,BEQU,FREEBASE,60ML,4840
Oktober,2024,,,,STRAWBERRY FREEBASE,BEQU,FREEBASE,60ML,2360
November,2024,,,,STRAWBERRY FREEBASE,BEQU,FREEBASE,60ML,4762
Desember,2024,,,,STRAWBERRY FREEBASE,BEQU,FREEBASE,60ML,1150
April,2024,,,,STRAWBERRY SALTNIC,BEQU,SALTNIC,30ML,10631
Juni,2024,,,,STRAWBERRY SALTNIC,BEQU,SALTNIC,30ML,3800
Juli,2024,,,,STRAWBERRY SALTNIC,BEQU,SALTNIC,30ML,5430
Agustus,2024,,,,STRAWBERRY SALTNIC,BEQU,SALTNIC,30ML,726
September,2024,,,,STRAWBERRY SALTNIC,BEQU,SALTNIC,30ML,4050
Oktober,2024,,,,STRAWBERRY SALTNIC,BEQU,SALTNIC,30ML,2181
November,2024,,,,STRAWBERRY SALTNIC,BEQU,SALTNIC,30ML,5714
Desember,2024,,,,STRAWBERRY SALTNIC,BEQU,SALTNIC,30ML,1230
Februari,2024,,,,TEA FREEBASE,BEQU,FREEBASE,60ML,6515
Mei,2024,,,,TEA FREEBASE,BEQU,FREEBASE,60ML,4240
Juli,2024,,,,TEA FREEBASE,BEQU,FREEBASE,60ML,340
Agustus,2024,,,,TEA FREEBASE,BEQU,FREEBASE,60ML,125
September,2024,,,,TEA FREEBASE,BEQU,FREEBASE,60ML,125
Oktober,2024,,,,TEA FREEBASE,BEQU,FREEBASE,60ML,57
November,2024,,,,TEA FREEBASE,BEQU,FREEBASE,60ML,55
Februari,2024,,,,TEA SALTNIC,BEQU,SALTNIC,30ML,6730
Mei,2024,,,,TEA SALTNIC,BEQU,SALTNIC,30ML,3450
Juli,2024,,,,TEA SALTNIC,BEQU,SALTNIC,30ML,155
September,2024,,,,TEA SALTNIC,BEQU,SALTNIC,30ML,50
Oktober,2024,,,,TEA SALTNIC,BEQU,SALTNIC,30ML,75
November,2024,,,,TEA SALTNIC,BEQU,SALTNIC,30ML,122
Februari,2024,,,,WATERMELON FREEBASE,BEQU,FREEBASE,60ML,5577
Maret,2024,,,,WATERMELON FREEBASE,BEQU,FREEBASE,60ML,4850
Mei,2024,,,,WATERMELON FREEBASE,BEQU,FREEBASE,60ML,22
Juni,2024,,,,WATERMELON FREEBASE,BEQU,FREEBASE,60ML,5281
Juli,2024,,,,WATERMELON FREEBASE,BEQU,FREEBASE,60ML,1415
Agustus,2024,,,,WATERMELON FREEBASE,BEQU,FREEBASE,60ML,1800
September,2024,,,,WATERMELON FREEBASE,BEQU,FREEBASE,60ML,2970
Oktober,2024,,,,WATERMELON FREEBASE,BEQU,FREEBASE,60ML,1259
November,2024,,,,WATERMELON FREEBASE,BEQU,FREEBASE,60ML,2838
Desember,2024,,,,WATERMELON FREEBASE,BEQU,FREEBASE,60ML,780
April,2024,,,,WATERMELON SALTNIC,BEQU,SALTNIC,30ML,8945
Juni,2024,,,,WATERMELON SALTNIC,BEQU,SALTNIC,30ML,2285
Juli,2024,,,,WATERMELON SALTNIC,BEQU,SALTNIC,30ML,3105
Agustus,2024,,,,WATERMELON SALTNIC,BEQU,SALTNIC,30ML,464
September,2024,,,,WATERMELON SALTNIC,BEQU,SALTNIC,30ML,2650
Oktober,2024,,,,WATERMELON SALTNIC,BEQU,SALTNIC,30ML,1770
November,2024,,,,WATERMELON SALTNIC,BEQU,SALTNIC,30ML,3320
Desember,2024,,,,WATERMELON SALTNIC,BEQU,SALTNIC,30ML,700
November,2024,,,,YUBARI MELON G2 V1 9MG,ORAMA,FREEBASE,60ML,4475
Desember,2024,,,,YUBARI MELON G2 V1 9MG,ORAMA,FREEBASE,60ML,300
Juli,2024,,,,YUBARI MELON G2 V1 3MG,ORAMA,FREEBASE,60ML,23565
Agustus,2024,,,,YUBARI MELON G2 V1 3MG,ORAMA,FREEBASE,60ML,1942
September,2024,,,,YUBARI MELON G2 V1 3MG,ORAMA,FREEBASE,60ML,6720
Oktober,2024,,,,YUBARI MELON G2 V1 3MG,ORAMA,FREEBASE,60ML,1183
November,2024,,,,YUBARI MELON G2 V1 3MG,ORAMA,FREEBASE,60ML,1899
